"filename", "language", "YAML", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Developer\Desktop\My Projects\proshop-v2\.prettierrc.yaml", "YAML", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\config\db.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\controllers\orderController.js", "JavaScript", 0, 0, 0, 105, 0, 0, 0, 29, 25, 159
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\controllers\productController.js", "JavaScript", 0, 0, 0, 114, 0, 0, 0, 25, 27, 166
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\controllers\userController.js", "JavaScript", 0, 0, 0, 141, 0, 0, 0, 27, 28, 196
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\data\products.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 2, 77
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\data\users.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\middleware\asyncHandler.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\middleware\authMiddleware.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 3, 8, 41
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\middleware\checkObjectId.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 9, 4, 22
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\middleware\errorMiddleware.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 2, 5, 21
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\models\orderModel.js", "JavaScript", 0, 0, 0, 80, 0, 0, 0, 0, 4, 84
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\models\productModel.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 0, 5, 76
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\models\userModel.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 2, 7, 48
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\routes\orderRoutes.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\routes\productRoutes.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\routes\uploadRoutes.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 10, 50
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\routes\userRoutes.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\Developer\Desktop\My Projects\proshop-v2\backend\seeder.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 12, 58
